Freq(Hz),Re(V1),Im(V1),Re(V2),Im(V2),Re(V3),Im(V3),Re(V4),Im(V4),Re(V5),Im(V5),Re(L1_I),Im(L1_I),Re(V1_I),Im(V1_I),Re(E1_I),Im(E1_I)
1.4526539259467808,2.0,0.0001216972608573012,0.0,0.0001216972608573012,1.9333333333333336,0.00012169726085730124,10.0,-0.0,22.0,-0.0001216972608573012,0.013333334444100007,0.0,-0.013333333333333332,0.0,-0.02,-0.0
1.4831025143361043,2.0,0.00012424811648416878,1.5154885070675356e-23,0.00012424811648416878,1.9333333333333336,0.00012424811648416883,10.0,-0.0,22.0,-0.00012424811648416878,0.013333334491152832,-1.6263035411731106e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.5141893253043521,2.0,0.00012685243976257626,1.8910884193371746e-23,0.0001268524397625763,1.9333333333333336,0.0001268524397625763,10.0,-0.0,22.0,-0.00012685243976257631,0.013333334540198851,-1.9877043427238145e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.5459277364194774,2.0,0.00012951135141171967,4.0369744270461666e-23,0.00012951135141171967,1.9333333333333336,0.00012951135141171967,10.0,-0.0,22.0,-0.00012951135141171967,0.013333334591322495,-4.1561091121120166e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.5783314056521174,2.0,0.0001322259956419274,0.0,0.00013222599564192744,1.9333333333333336,0.00013222599564192744,10.0,-0.0,22.0,-0.00013222599564192747,0.013333334644611767,0.0,-0.013333333333333332,0.0,-0.02,-0.0
1.6114142772530196,2.0,0.00013499754064705816,1.82955802317317e-24,0.00013499754064705816,1.9333333333333336,0.00013499754064705816,10.0,-0.0,22.0,-0.00013499754064705816,0.013333334700158411,-1.80700399128787e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.6451905877536626,2.0,0.00013782717910721867,1.8679067872888885e-23,0.00013782717910721867,1.9333333333333336,0.00013782717910721865,10.0,-0.0,22.0,-0.00013782717910721867,0.013333334758058046,-1.8070040069815994e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.6796748720926535,2.0,0.00014071612870202073,3.6234127990873984e-23,0.00014071612870202073,1.9333333333333336,0.00014071612870202076,10.0,-0.0,22.0,-0.00014071612870202073,0.013333334818410352,-3.4333076443462405e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.7148819698705398,2.0,0.00014366563263459615,1.1682195682335392e-23,0.00014366563263459612,1.9333333333333336,0.00014366563263459617,10.0,-0.0,22.0,-0.0001436656326345961,0.013333334881319221,-1.084202424234967e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.7508270317357244,2.0,0.00014667696016659607,5.565962433892592e-23,0.00014667696016659607,1.9333333333333336,0.00014667696016659604,10.0,-0.0,22.0,-0.00014667696016659607,0.013333334946892955,-5.059611362863147e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.787525525904235,2.0,0.00014975140716440522,1.826559241437845e-23,0.00014975140716440522,1.9333333333333336,0.00014975140716440522,10.0,-0.0,22.0,-0.00014975140716440522,0.013333335015244436,-1.6263036690229062e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.8249932448161523,2.0,0.00015289029665680547,1.0360250848940414e-23,0.00015289029665680547,1.9333333333333336,0.0001528902966568055,10.0,-0.0,22.0,-0.00015289029665680547,0.013333335086491331,-9.035020480018153e-22,-0.013333333333333332,0.0,-0.02,-0.0
1.8632463119315603,2.0,0.00015609497940432905,6.981089732905597e-23,0.00015609497940432905,1.9333333333333336,0.000156094979404329,10.0,-0.0,22.0,-0.00015609497940432905,0.013333335160756297,-5.963113583239533e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.9023011886689445,2.0,0.00015936683448054687,2.5917883927586118e-23,0.00015936683448054687,1.9333333333333336,0.00015936683448054682,10.0,-0.0,22.0,-0.00015936683448054687,0.013333335238167173,-2.1684049645385463e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.9421746814890257,2.0,0.00016270726986554148,4.8512090477678964e-23,0.0001627072698655415,1.9333333333333336,0.00016270726986554148,10.0,-0.0,22.0,-0.00016270726986554153,0.01333333531885723,-3.975409149770394e-21,-0.013333333333333332,0.0,-0.02,-0.0
1.982883949127071,2.0,0.0001661177230518208,9.005261208874532e-24,0.00016611772305182083,1.9333333333333336,0.0001661177230518208,10.0,-0.0,22.0,-0.00016611772305182086,0.013333335402965376,-7.228016727136418e-22,-0.013333333333333332,0.0,-0.02,-0.0
